year,positive,samplesize,negative,maturepopmean,maturepopsd
2007,25,60,35,187.7088502,9.255349248
2008,40,180,140,224.3212704,9.770932073
2009,57,180,123,216.383776,9.608147866
2010,26,120,94,194.994746,9.201059006
2011,51,180,129,161.5075264,8.536944675
2012,72,240,168,140.7279952,8.066002013
2013,41,180,139,109.1470086,7.3113029
2014,48,180,132,80.896548,6.481201868
2015,15,60,45,57.9069424,5.750658019
2016,60,174,114,56.1931906,5.687641633
2017,31,180,149,66.2560762,6.109236049
2018,24,180,156,72.23883,6.579918762
