year,recruitment,recruitmentsd
1980,329.0363348,10.27630582
1981,155.84329,7.806037185
1982,134.9693428,6.902174421
1983,336.0937056,9.211617133
1984,370.8052144,9.489535595
1985,191.8652082,7.136126529
1986,127.0194086,6.054874744
1987,783.6739804,13.14330676
1988,432.5662996,10.11574259
1989,101.0598418,5.401061271
1990,27.3396166,3.70932658
1991,374.9279334,11.27587357
1992,179.0551932,8.487445428
1993,63.516259,5.832323775
1994,25.184259,4.145941167
1995,46.0153684,3.967287962
1996,43.4273602,3.82489633
1997,64.5286214,4.55289948
1998,63.5025194,4.652124005
1999,23.867311,3.252772334
2000,22.345113,3.358709467
2001,14.3983156,2.993915633
2002,134.3450098,6.994689443
2003,89.6239592,6.009712072
2004,36.7190036,4.411749456
2005,28.0280348,4.097043882
2006,24.403788,3.822709959
2007,82.536604,5.784513482
2008,97.852122,6.210914176
2009,59.4278874,5.149654357
2010,48.0447368,4.759000388
2011,24.9627696,3.693237021
2012,29.4215652,3.823101783
2013,18.8595914,3.278103219
2014,7.8021862,2.425015611
2015,12.2751028,2.810698257
2016,17.299167,3.163482952
2017,31.9230094,4.103692563
2018,25.0542582,4.095634049
2019,134.9559226,9.709761709
